name,description,category,unit,price
Asphalt shingle roof — architectural,"Labor + material, per roofing square (100 sq ft)",Roofing system,square,450.00
Asphalt shingle roof — 3-tab,,Roofing system,square,380.00
Standing seam metal roof,,Roofing system,square,1200.00
Tear-off — first layer,Remove and dispose existing roofing,Tear-off & disposal,square,120.00
Tear-off — each additional layer,,Tear-off & disposal,square,75.00
Dumpster / debris disposal,,Tear-off & disposal,ea,550.00
"Decking replacement — 1/2"" OSB",Sheets replaced where rot is found,Decking,sheet,95.00
Fascia board replacement,,Decking,lf,14.00
Synthetic underlayment,,Underlayment,square,65.00
Ice & water shield,"Eaves, valleys, and penetrations",Underlayment,square,110.00
Drip edge,,Flashing & trim,lf,4.50
Valley flashing — metal,,Flashing & trim,lf,16.00
Step flashing,,Flashing & trim,lf,12.00
Chimney flashing kit,,Flashing & trim,ea,650.00
Pipe boot / vent collar,,Flashing & trim,ea,85.00
Ridge vent,,Ventilation,lf,18.00
Static roof vent,,Ventilation,ea,120.00
Soffit vent,,Ventilation,ea,65.00
Ridge cap shingles,,Roofing system,lf,11.00
Skylight — replace unit,,Skylights,ea,1450.00
Skylight — reflash only,,Skylights,ea,480.00
"Gutter — 5"" seamless aluminum",,Gutters,lf,12.00
Downspout,,Gutters,lf,10.00
Gutter guard,,Gutters,lf,15.00
Steep-pitch surcharge (8/12+),,Labor adjustments,square,90.00
Two-story access surcharge,,Labor adjustments,square,50.00
Permit & inspection,,Project costs,ea,450.00
Roof repair — labor,,Repairs,hr,125.00
